,0
972,ANALYSISSKILLS
973,ORGANIZATIONALSKILLS
974,COMMUNICATIONSKILLS
975,NISTSTANDARDS
976,TECHNICALWRITING
977,WINDOWS
978,MULTILINGUAL
979,COMPUTERSCIENCE
980,LINUX
981,COMMUNICATIONSKILLS
982,SOFTWARETROUBLESHOOTING
983,IAAS
984,CLOUDINFRASTRUCTURE
985,VMWARE
986,BACHELOR'SDEGREE
987,MACOS
988,DHCP
989,CLOUDARCHITECTURE
990,MICROSOFTOFFICE
991,AWS
992,SOFTWAREDEVELOPMENT
993,AZURE
994,COMPUTERSKILLS
995,CUSTOMERSERVICE
996,ACTIVEDIRECTORY
997,DNS
998,SQL
999,CUSTOMERSERVICE
1000,UNDER1YEAR
1001,COMPUTERSCIENCE
1002,ZENDESK
1003,COMMUNICATIONSKILLS
1004,DATAANALYSISSKILLS
1005,CUSTOMERSUPPORT
1006,BACHELOR'SDEGREE
1007,ANALYTICS
1008,COMPUTERSCIENCE
1009,DATABASEMANAGEMENT
1010,SQL
1011,R
1012,TABLEAU
1013,3YEARS
1014,REGRESSIONANALYSIS
1015,PYTHON
1016,DATAVISUALIZATION
1017,COMMUNICATIONSKILLS
1018,DATAANALYSISSKILLS
1019,POWERBI
1020,BUSINESS
1021,MICROSOFTOFFICE
1022,HEALTHCAREADMINISTRATION
1023,COMPUTERSCIENCE
1024,SQL
1025,2YEARS
1026,BACHELOR'SDEGREE
1027,POWERBI
1028,SAS
1029,POS
1030,COMPUTERSKILLS
1031,CUSTOMERSERVICE
1032,WINDOWS
1033,RESTAURANTEXPERIENCE
1034,ASSOCIATE'SDEGREE
1035,COMPUTERSCIENCE
1036,COMPUTERNETWORKING
1037,MANAGEMENT
1038,ANALYSISSKILLS
1039,COMMUNICATIONSKILLS
1040,COMPTIAA+
1041,HELPDESK
1042,1YEAR
1043,TYPING
1044,SOFTWARETROUBLESHOOTING
1045,COMPUTERENGINEERING
1046,SCRUM
1047,SHELLSCRIPTING
1048,AGILE
1049,BACHELOR'SDEGREE
1050,SYSTEMSANALYSIS
1051,COMPUTERSCIENCE
1052,SLACK
1053,JIRA
1054,PYTHON
1055,3YEARS
1056,MANAGEMENT
1057,ANALYSISSKILLS
1058,POWERSHELL
1059,DEBUGGING
1060,SOFTWAREENGINEERING
1061,CONFLUENCE
1062,BASH
1063,CUSTOMERSERVICE
1064,IT
1065,MCP
1066,CSS
1067,ASSOCIATE'SDEGREE
1068,COMPUTERSCIENCE
1069,HELPDESK
1070,2YEARS
1071,COMMUNICATIONSKILLS
1072,COMPTIAA+
1073,LAN
1074,MCSE
1075,SOFTWARETROUBLESHOOTING
1076,COMPUTERSKILLS
1077,CUSTOMERSERVICE
1078,WINDOWS
1079,TRIAGE
1080,MICROSOFTOFFICE
1081,TECHNICALSUPPORT
1082,ASSOCIATE'SDEGREE
1083,COMPUTERSCIENCE
1084,1YEAR
1085,SOFTWARETROUBLESHOOTING
1086,TESTAUTOMATION
1087,QUALITYASSURANCE
1088,WRITINGSKILLS
1089,UI
1090,ENGINEERING
1091,SELENIUM
1092,COMPUTERSCIENCE
1093,DESIGNPATTERNS
1094,GITLAB
1095,COMMUNICATIONSKILLS
1096,BACHELOR'SDEGREE
1097,SOFTWAREQUALITYASSURANCE
1098,NOSQL
1099,TYPESCRIPT
1100,VUE.JS
1101,JAVASCRIPT
1102,BACHELOR'SDEGREE
1103,MANAGEMENT
1104,REACT
1105,MASTER'SDEGREE
1106,BACHELOROFSCIENCE
1107,SDKS
1108,1YEAR
1109,ASSOCIATE'SDEGREE
1110,COMPUTERSCIENCE
1111,BACHELOR'SDEGREE
1112,CUSTOMERSERVICE
1113,IT
1114,COMPUTERSCIENCE
1115,HELPDESK
1116,ORGANIZATIONALSKILLS
1117,2YEARS
1118,COMMUNICATIONSKILLS
1119,BACHELOR'SDEGREE
1120,SOFTWARETROUBLESHOOTING
1121,COMPUTERSKILLS
1122,SALESFORCECERTIFICATION
1123,IT
1124,MOBILEDEVICES
1125,TECHNICALSUPPORT
1126,ENTERPRISESOFTWARE
1127,COMPUTERSCIENCE
1128,REMOTEACCESSSOFTWARE
1129,3YEARS
1130,COMMUNICATIONSKILLS
1131,BACHELOR'SDEGREE
1132,CUSTOMERSUPPORT
1133,SOFTWARETROUBLESHOOTING
1134,JAVA
1135,WRITINGSKILLS
1136,JAVASCRIPT
1137,AGILE
1138,BACHELOR'SDEGREE
1139,SELENIUM
1140,COMPUTERSCIENCE
1141,3YEARS
1142,REST
